LOG t=113877 ms I=6 mA V=5342 mV Ax=-49 Ay=10 Az=1018 Mag=1019 raw=20448
Logging STOPPED for dump
timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
4597,-158,22770,27,23,1018,1019
5144,-48,22770,24,21,1021,1021
5692,303,22770,25,19,1021,1021
6240,303,22770,23,22,1020,1021
6795,303,22770,23,21,1020,1020
7345,79,22770,22,23,1019,1019
7896,-115,22770,26,22,1018,1019
8449,-132,22770,28,18,1021,1021
9008,-122,22770,22,21,1020,1021
9563,-152,22770,15,27,1020,1020
10119,-84,22770,22,19,1020,1021
10767,303,22770,20,27,1021,1021
11319,303,22770,19,25,1020,1020
11868,303,22770,28,20,1020,1021
12418,303,22770,9,16,1024,1024
12970,303,22770,25,20,1019,1020
13528,303,22770,22,19,1020,1021
14084,239,22770,25,18,1020,1021
14641,225,22770,24,18,1019,1019
15250,225,22770,23,24,1023,1024
15803,229,22770,23,20,1019,1020
16353,231,22770,23,19,1022,1022
16906,225,22770,23,26,1020,1020
17461,233,22770,23,17,1020,1021
18022,229,22770,25,20,1021,1022
18629,241,22770,23,20,1023,1024
19178,229,22770,21,20,1019,1020
19729,225,22770,23,19,1019,1020
20288,227,22770,21,18,1020,1021
20883,225,22770,23,19,1021,1021
21477,231,22770,22,25,1016,1017
22073,229,22770,24,18,1019,1020
22678,237,22770,24,18,1020,1021
23276,229,22770,23,18,1021,1021
23927,303,22770,23,21,1019,1019
24523,259,22770,23,18,1018,1018
25116,-74,22770,23,25,1025,1025
25705,8,22770,22,19,1016,1017
26296,-115,22770,24,17,1020,1020
26883,-203,22770,24,18,1021,1021
27482,-372,22770,21,24,1027,1027
28072,-517,22771,22,14,1016,1017
28663,-818,22776,15,27,1022,1022
29256,-1150,22785,32,24,1018,1019
29852,-843,22778,29,21,1034,1034
30446,-569,22775,38,24,1011,1012
31045,-495,22770,13,23,1032,1032
31644,-455,22771,24,25,1026,1027
32247,-450,22771,31,14,1010,1011
32845,-452,22772,11,23,1029,1029
33496,27,22772,25,26,1016,1017
34095,303,22770,11,19,1026,1026
34689,303,22770,24,19,1021,1022
35286,303,22770,19,23,1021,1021
35882,303,22770,13,18,1023,1023
36469,303,22770,23,14,1019,1019
37066,303,22770,20,18,1021,1021
37658,303,22770,23,20,1018,1019
38250,303,22770,13,21,1018,1019
38844,303,22770,25,20,1021,1021
39443,303,22770,22,22,1022,1023
40038,303,22770,23,22,1017,1017
40633,303,22770,23,20,1020,1020
41233,303,22770,23,21,1019,1020
4599,-2,5351,-31,-2,1020,1021
5201,-7,5351,-29,12,1018,1019
5858,-6,5351,-33,12,1020,1020
6449,-13,5351,-28,12,1021,1021
7054,-14,5351,-32,6,1018,1019
7647,-21,5351,-37,16,1019,1019
8238,-15,5351,-32,6,1020,1020
8834,-7,5351,-31,9,1018,1018
9430,-10,5350,-34,13,1019,1019
10027,-3,5351,-33,11,1020,1020
10621,0,5351,-32,9,1018,1018
11218,-1,5350,-33,10,1020,1021
11821,-3,5350,-33,12,1019,1019
12418,2,5351,-31,10,1018,1019
13015,-3,5350,-33,9,1019,1019
13615,0,5351,-32,11,1019,1019
