Logging STOPPED for dump
timestamp_ms,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100
19598,0,22770,-53,7,1017,1018
20148,0,22770,-48,6,1019,1020
20700,0,22770,-52,10,1018,1020
21252,0,22770,-50,10,1019,1020
21810,0,22770,-47,6,1017,1018
22417,0,22771,-48,7,1018,1020
22964,0,22770,-52,6,1017,1019
23512,0,22770,-45,7,1019,1020
24066,0,22770,-46,6,1017,1018
24616,0,22770,-48,10,1018,1019
25167,0,22770,-50,11,1017,1019
25720,0,22771,-49,9,1017,1018
26279,0,22771,-50,7,1019,1020
26834,0,22770,-49,3,1019,1020
27391,0,22770,-52,0,1018,1019
28003,0,22771,-49,3,1018,1020
28556,0,22771,-53,1,1014,1015
29105,0,22770,-52,18,1016,1018
29656,0,22770,-49,8,1017,1018
30209,0,22770,-48,11,1018,1019
30769,0,22770,-47,8,1018,1019
31325,0,22771,-50,9,1020,1021
31935,0,22772,-48,15,1018,1019
32483,0,22770,-50,11,1020,1021
33039,0,22771,-56,14,1017,1019
33592,0,22770,-52,11,1017,1019
34147,0,22770,-48,8,1017,1018
34705,0,22770,-47,4,1020,1021
35318,0,22772,-51,11,1022,1023
35908,0,22771,-49,12,1019,1020
36496,0,22771,-49,9,1018,1019
37087,0,22771,-49,8,1018,1019
37681,0,22771,-49,8,1018,1019
38273,0,22771,-48,8,1020,1021
38865,-155,22774,-46,12,1014,1015
39458,-102,22772,-48,11,1018,1019
40061,-98,22774,-49,16,1029,1031
40656,-140,22773,-50,4,1022,1023
41250,-111,22775,-56,-3,1025,1027
41844,-138,22775,-53,5,1025,1027
42447,-142,22772,-46,8,1023,1025
43049,-144,22774,-40,2,1015,1015
43704,-618,22786,-77,-1,1051,1054
44302,-980,22786,-47,8,1021,1022
44897,-1294,22786,-52,0,1035,1036
45489,-1638,22786,-44,-2,1025,1026
46083,-1109,22786,-41,9,1010,1011
46672,-863,22786,-49,11,1004,1005
47274,-800,22786,-52,0,1013,1014
47866,-757,22786,-36,8,1003,1004
48460,-761,22786,-59,-10,1032,1034
49053,-763,22786,-45,10,1026,1027
49653,-744,22786,-46,5,1021,1022
50248,-92,22781,-61,9,1021,1023
50848,0,22782,-45,14,1015,1016
51451,0,22779,-42,14,1019,1020
52054,0,22775,-42,15,1020,1021
52652,0,22775,-45,14,1019,1020
53311,0,22782,-47,10,1016,1017
53908,0,22782,-46,6,1016,1017
54505,0,22781,-50,7,1019,1020
55104,0,22784,-48,12,1018,1020
19597,2,5344,-55,4,1018,1019
20196,4,5344,-48,-1,1019,1020
20788,-2,5344,-72,34,1015,1018
21386,1,5344,-55,15,1018,1020
21985,-8,5344,-57,16,1018,1019
22582,-22,5344,-43,0,1017,1018
Dump complete. 68 records.
